12424_C_0	12424_C_5	12424_C_10	12424_C_15	12424_C_20	12424_C_30	12424_C_45	12424_C_60
YBR139W	0	0.784771334743184	0.31904377803262	0.558235345217852	1.00231806308111	1.27660063380116	1.01951944288654	0.939173563191382
YLR149C	0	0.623108438478722	0.0234639726762031	0.935278045948947	1.53626991983058	1.65775325838196	1.19677172235285	1.09829467694741
YCR041W	0	-0.00585928912793896	-0.00531185545219472	2.61844504121214	-0.0106097660782201	0.0115263471173409	0.00482115067845082	0.00126366175284003
YER053C-A	0	0.257017520057915	0.131154415341888	0.811800235742816	1.14654487256701	0.692843915843603	-0.0969589385882221	-0.328690633287423
YNL274C	0	0.347471557637284	0.0440570702078755	-0.023962786461224	0.453820219481351	1.11747621810266	0.804006127686788	0.975266021524488
YNL200C	0	0.583221077266617	0.0480079773526716	0.26433362119702	0.693143385580569	1.00328840915607	0.710203316586341	0.719196396314446
YHL001W	0	-0.504329474784972	-0.301925413989385	-0.399927419677495	-0.526576580662993	-0.805474389315302	-1.03653474458813	-1.14681446091598
YIL166C	0	1.82762312982176	2.38734968977662	2.44042072527487	2.41891452764394	2.41872394682976	2.13429664120874	2.00975719118459
YJL153C	0	-0.62038822653073	0.218302934766874	0.303076425246491	0.470715664042233	-1.61824339009623	0.503041147527198	0.335023995086841
YGL029W	0	-0.274886826027466	-0.377869455507884	-0.512517867548339	-0.851590003627078	-1.04696815449755	-0.774811500536491	-0.729930692142286
YOL020W	0	-0.0938373734002962	0.152646228384241	-0.00208391035285205	-0.291944096084332	-1.00374492393996	0.349466498304683	0.513933252071744
YAL025C	0	-0.192042493809676	-0.396824812793639	-0.638225669965601	-0.956921001420242	-1.02489325434433	-0.648296075704796	-0.565486850574009
YLR080W	0	0.422243013375031	0.0376959619713164	0.196614127728319	0.670069452987068	1.10806752875699	0.864835147455621	0.81201975049268
YKR057W	0	-0.560218988150188	-0.416159227105357	-0.430754924875978	-0.524636521494552	-0.898568537995146	-1.05122724200493	-1.13685152268209
YDR256C	0	4.05948606378502	5.29989063433312	5.42388294315499	5.37632778794013	5.34895935132365	4.7264662562413	4.45465778860165
YJL163C	0	0.80424790958297	-0.21401169919556	0.463968621217011	1.14933489753606	1.40881573666474	0.879146562223479	0.887242072448792
YCR012W	0	0.670476024517364	0.274837022686303	0.274868599861927	0.598999909400487	1.10588001043102	0.968044226547312	0.852460712415571
YGR079W	0	0.338858516841327	-0.408532119388094	-0.828289729976073	-1.08820696679305	-0.873845936747513	-0.426632798818827	-0.245334381896545
YMR105C	0	0.710551693718595	0.318445588921746	0.866599285539438	1.6740088947466	2.04302353842224	1.24363403125275	1.13484754857715
YML054C	0	0.639698674033394	0.20117922145649	0.595696761702661	1.28244591723186	1.60320451236055	1.11494153274871	0.826076395155566
YHR214W-A	0	0.594947218245332	0.607944086250466	0.643678133719476	0.902844065615842	1.29736044075853	1.36018691231503	1.36451986837419
YIL045W	0	1.00811695320508	0.793401188548023	0.472671406882489	0.907384483719364	0.677780771602991	0.370888666752665	0.319731155782222
YOR173W	0	0.426254395265128	-0.29190556145522	0.453753858880156	1.25843802106063	1.54511017096659	0.911231399068631	0.840618744143601
YNL055C	0	1.01954089839942	0.371370038954561	0.236841503660868	0.619437441231836	1.09771285213235	1.04593696190081	0.78046073284648
YIR040C	0	-0.00585928912793896	-0.00531185545219472	-0.010502869020516	-2.56993346792077	0.0115263471173409	0.00482115067845082	0.00126366175284003
YEL071W	0	0.219769044421948	-0.0948973988333764	-0.524797182193387	-1.04522443993651	-0.680195869955861	-0.17340150907928	0.436956155229296
YDL204W	0	0.736865935056309	0.350825005566965	0.62835520523178	1.44733652385782	2.05557600471654	1.17991839125935	1.08802005228315
YHR096C	0	0.42755284971611	-0.269620104622868	-0.0710418763373566	0.741866476418918	1.64477384710751	1.25613418183923	1.30572448930173
YNL234W	0	-1.11159333716366	-1.1106600167252	-1.23293501213617	-1.12491361229055	-1.08860906965091	-0.987152844079028	-0.819482542421268
YIL057C	0	4.71687114615238	6.15776633072976	6.30264817823968	6.24742042097283	6.21204687046548	5.48997803375998	5.17479214638631
YMR194W	0	-0.583808222615071	-0.306172438903935	-0.272140907078297	-0.490049498157776	-0.95600236191407	-1.10867140503107	-1.250057883131
YMR303C	0	0.116522555549802	0.418899766564469	0.418525763279565	0.585431150396272	0.527884267204433	-0.341412002566962	-1.16288343844188
YMR297W	0	0.658749351879719	0.317490621992687	0.308322583891346	0.607264090196301	1.31489416206742	1.2473622443019	1.24677920089515
YIR034C	0	-1.12929003770312	-0.292602215069069	-0.265016024998133	-0.421544567719565	-0.530851978807413	-0.609649689463706	-0.564110769983316
YIL136W	0	0.134563322715241	-0.245224008044832	-0.101826280563851	0.791296792431631	1.56022336074071	0.952675334253843	0.935295925621065
YEL011W	0	0.555380122292674	-0.162039281098668	0.951905146937439	1.77932351937633	1.47969643921497	0.65646626658762	0.524521591763675
YMR095C	0	-1.10590471414442	-0.572130722757352	-0.563844114878781	-1.49788927226813	-1.55138006870498	-1.42876429045758	-1.03082016351854
YBL043W	0	-0.605211005413677	-0.754117914468607	-0.749657782814177	-0.729602681697289	-0.674170661533345	-0.58153295000669	3.57881851996308
YGR008C	0	0.310252523070459	-0.0329473946041328	0.490345298602045	1.00065304192341	1.19982378914151	0.629284196936675	0.413801108883875
YGL076C	0	-0.360140796896759	-0.0624572332771927	-0.37006670116333	-0.445487826553283	-0.620606478989017	-1.09816400653236	-1.19253708214956
YDR343C	0	0.444075439076045	0.427475613045441	0.586943354645489	1.04563790594275	1.12871326758052	0.435505221913584	0.218425305130755
YML100W	0	0.899002254485536	-0.143057008443408	0.788578786844821	1.65966910533284	1.67283798500027	0.904088445918546	0.794319520201903
YJL052W	0	0.366752673939234	0.260009351888562	0.370200805144707	0.57638765702408	1.12292928556282	1.02337236491549	1.02819364233365
YKR097W	0	-0.730894708688043	-0.911142105730951	-0.904658134585493	-0.880375074280139	-0.817960921959139	-0.704491060915117	3.84616682681852
YGR043C	0	0.122293320862493	0.254729805601491	0.195385326426856	0.2877956452428	1.09137915792346	0.839657603480262	0.902123161653867
YIL019W	0	-0.382155786510303	-0.159281584742204	-0.306260416095585	-0.733323337493459	-1.08600877998437	-0.735672804059081	-0.622586995012864
YDL169C	0	0.396345971347621	-0.162768726929165	0.309409118039476	0.891109544354832	1.10164571788813	0.673461495269018	0.542257300022756
YMR244W	0	-0.00585928912793896	4.12506715329416	-0.010502869020516	-0.0106097660782201	0.0115263471173409	0.00482115067845082	0.00126366175284003
YHL021C	0	0.171488475756258	0.00867451466741054	0.923772395409957	1.57380821358105	1.4327862814664	0.418149291002518	0.182821585137205
YJR008W	0	0.0946642321491057	0.18821502774903	0.743836091968202	1.02023199224048	0.923273472219946	0.486445237001958	0.320097809096795
YNR002C	0	2.60016391194427	0.291357357129138	0.378728499362083	0.344624078608744	0.331289298442904	-0.116638916263048	-0.31240301844306
